,att_id,att_name,att_cat,att_price,score
6,6,whistler_small-group_day_trip_from_vancouver,featured_tours_and_tickets,145.0,5.000000000000001
619,1355,ultimate_day_tour_to_victoria,tours_&_sightseeing,363.56,4.882804316759109
213,428,ultimate_day_tour_to_victoria,day_trips_&_excursions,363.56,3.6599831984813047
5,5,niagara_falls_in_one_day:_deluxe_sightseeing_tour_of_american_and_canadian_sides,featured_tours_and_tickets,204.42,3.4502601798439487
1387,3377,ultimate_day_tour_to_victoria,recommended_experiences,363.56,3.37338803449012
577,1303,vancouver_city_sightseeing_tour,tours_&_sightseeing,80.0,3.310099084080947
1411,3404,stanley_park_horse-drawn_tours,recommended_experiences,42.0,2.8710738829723614
700,1571,niagara_falls_canada_tour_from_niagara_usa,tours_&_sightseeing,156.71,2.840644403482846
1108,2419,ottawa_river_historic_sightseeing_cruise,family_friendly,28.0,2.7457156746139693
1189,2609,ultimate_day_tour_to_victoria,luxury_&_special_occasions,363.56,2.7225859803930774
1046,2239,niagara_falls_day_tour_from_toronto,family_friendly,94.92,2.208274672491458
77,135,summer_whale_watching_on_vancouver_island,"cruises,_sailing_&_water_tours",145.95,2.0778807186420654
0,0,vancouver_city_sightseeing_tour,featured_tours_and_tickets,80.0,2.006808740101905
582,1310,"best_of_niagara_falls_tour_from_niagara_falls,_ontario",tours_&_sightseeing,158.0,1.929298672420913
591,1323,niagara_on_the_lake_wine_tour_with_cheese_pairing,tours_&_sightseeing,83.62,1.850833599947128
1438,3431,flavors_of_old_montreal_walking_tour,recommended_experiences,68.0,1.69862838035144
914,2025,little_italy_walking_food_tour_in_vancouver,walking_&_biking_tours,73.0,1.6889416049613775
473,1081,2_hour_banff_horseback_riding_adventure,outdoor_activities,124.95,1.6714941370715466
1049,2243,half-day_trip_to_montmorency_falls_and_ste-anne-de-beaupré_from_quebec,family_friendly,57.5,1.5764856679117747
960,2088,ultimate_day_tour_to_victoria,water_sports,363.56,1.5007523266338103
592,1324,niagara_falls_american-side_tour_with_maid_of_the_mist_boat_ride,tours_&_sightseeing,136.26,1.4089138471534586
1054,2248,niagara_on_the_lake_wine_tour_with_cheese_pairing,family_friendly,83.62,1.3713620149797723
1053,2247,niagara_falls_day_and_evening_tour_with_boat_cruise_and_optional_fallsview_dinner,family_friendly,169.0,1.3503740364253398
401,887,ultimate_day_tour_to_victoria,sightseeing_tickets_&_passes,363.56,1.3101048764068064
279,583,niagara_falls_one_day_sightseeing_tour_from_toronto,"food,_wine_&_nightlife",99.0,1.2955749220659296
1558,3585,overnight_camping_and_river-rafting_trip_in_squamish,recommended_experiences,425.24,1.2127195412201204
1300,3285,niagara_falls_day_tour_from_toronto,recommended_experiences,94.92,1.1977133369481494
602,1335,"jasper_national_park_tour:_maligne_valley,_medicine_lake_and_spirit_island",tours_&_sightseeing,72.45,1.1164089256346785
542,1202,call_of_the_wild_atv_tour,outdoor_activities,156.45,1.0907437197819496
1186,2606,niagara_falls_helicopter_tour,luxury_&_special_occasions,145.0,1.0790955837289191
55,82,ultimate_day_tour_to_victoria,"cruises,_sailing_&_water_tours",363.56,1.0695006557943383
196,406,vancouver_to_victoria_and_butchart_gardens_tour_by_bus,day_trips_&_excursions,210.0,1.0392001802309312
146,301,6-hour_niagara_falls_canadian_side_evening_illuminations_tour,cultural_&_theme_tours,149.89,0.9965921456329784
441,980,ultimate_day_tour_to_victoria,outdoor_activities,363.56,0.9900536505237676
1110,2421,interactive_pirate_cruise_from_granville_island,family_friendly,34.5,0.9517305084682522
1055,2249,niagara_falls_american-side_tour_with_maid_of_the_mist_boat_ride,family_friendly,136.25,0.9430982044903846
609,1343,5.5-hour_jasper_wildlife_and_waterfalls_tour_with_maligne_lake_cruise_from_jasper,tours_&_sightseeing,144.59,0.914934121615903
971,2124,three_sisters_sea_kayaking_day_tour,water_sports,136.85,0.9127437685468819
875,1942,vancouver_biking_and_hiking_tour_including_lunch,walking_&_biking_tours,135.5,0.9049557305546861
1334,3321,vancouver_highlights_bike_tour,recommended_experiences,94.45,0.8962666481497934
1413,3406,wild_current_canoe_adventure_at_pyramid_lake,recommended_experiences,120.0,0.8958128382220272
202,413,niagara_on_the_lake_wine_tour_with_cheese_pairing,day_trips_&_excursions,83.62,0.887345755291918
613,1348,toronto's_original_brunch_food_tour,tours_&_sightseeing,99.0,0.8822890310071088
429,966,niagara_falls_helicopter_tour,outdoor_activities,145.0,0.869023179458353
1329,3316,niagara-on-the-lake_wine_tour_and_tastings_with_transport,recommended_experiences,40.0,0.8605559399700811
1137,2462,skagway_shore_excursion:_full-day_tour_of_the_yukon,shore_excursions,157.45,0.836708374386913
1063,2258,niagara_falls_helicopter_tour,family_friendly,145.0,0.8349394758920227
46,72,half-day_whale_watching_adventure_from_vancouver,"cruises,_sailing_&_water_tours",181.13,0.8338054729331493
867,1931,ultimate_day_tour_to_victoria,walking_&_biking_tours,363.56,0.8296363812450948
1070,2266,ultimate_day_tour_to_victoria,family_friendly,363.56,0.8087147311656151
83,145,lady_muskoka_boat_cruise,"cruises,_sailing_&_water_tours",42.94,0.8071965866614005
1311,3298,half-day_trip_to_montmorency_falls_and_ste-anne-de-beaupré_from_quebec,recommended_experiences,57.5,0.7820599211661254
1328,3315,niagara_falls_platinum_tour_from_toronto_with_cruise_and_lunch,recommended_experiences,149.0,0.7705857734179676
848,1911,small-group_quebec_city_food_tour,walking_&_biking_tours,53.0,0.7697567979461912
446,986,jasper_to_banff_one-way_tour,outdoor_activities,257.25,0.7503853867942905
467,1042,3_hour_whale_watching_tour,outdoor_activities,129.0,0.7225206431269924
849,1912,victoria_guided_food_and_history_tour,walking_&_biking_tours,63.0,0.703044285819993
1548,3570,squamish_cheakamus_white-water_rafting_from_whistler,recommended_experiences,120.74,0.6896012626170551
907,2016,downtown_toronto_bike_tour,walking_&_biking_tours,84.75,0.686049897253169
1384,3374,niagara_falls_open-top_jet-boat_ride,recommended_experiences,79.04,0.6829200908355222
88,150,victoria_whale_watching_tour_on_a_covered_vessel,"cruises,_sailing_&_water_tours",122.0,0.6762226891911173
1330,3317,niagara_on_the_lake_wine_tour_with_cheese_pairing,recommended_experiences,83.62,0.6670730648574598
1410,3403,whistler_wilderness_snowmobile_run,recommended_experiences,208.96,0.63004157983071
604,1338,niagara_falls_one_day_sightseeing_tour_from_toronto,tours_&_sightseeing,99.0,0.6247656741180468
958,2086,whale-watching_tour_from_vancouver,water_sports,138.5,0.6075256979799178
