,att_id,att_name,att_cat,att_price
0,3369,fine_dining_dinner_tour_in_whistler,recommended_experiences,131.24
1,1590,downtown_toronto_bike_tour,tours_&_sightseeing,84.75
2,1910,quebec_city_walking_tour,walking_&_biking_tours,30.99
3,2240,quebec_city_walking_tour,family_friendly,30.99
4,3289,quebec_city_walking_tour,recommended_experiences,30.99
5,214,quebec_city_walking_tour,cultural_&_theme_tours,30.99
6,594,fine_dining_dinner_tour_in_whistler,"food,_wine_&_nightlife",131.24
7,2016,downtown_toronto_bike_tour,walking_&_biking_tours,84.75
8,957,callaghan_valley_winter_snowmobile_tour,outdoor_activities,208.95
9,1304,quebec_city_walking_tour,tours_&_sightseeing,30.99
